City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
286,Pitimbu,BR,86.59,overcast clouds,-7.4706,-34.8086,Reserva do Abiaí
288,Champerico,GT,81.14,broken clouds,14.3,-91.9167,"Hotel y restaurante ""El Diamante"""
289,Victoria,HK,82.45,clear sky,22.2855,114.1577,Mini Hotel Central
297,Ambilobe,MG,76.98,scattered clouds,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
299,Tamiami,US,83.01,clear sky,25.7587,-80.3984,University Lakes
300,Salalah,OM,82.71,clear sky,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
301,Mae Sai,TH,83.44,scattered clouds,20.4335,99.8762,Piyaporn Hill Paradise Hotel
303,Edea,CM,83.95,light rain,3.8,10.1333,Micotel Hotel
306,Port Blair,IN,84.24,thunderstorm,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
307,Jatibarang,ID,79.21,light rain,-6.4747,108.3153,Adi Sederhana Hotel
311,Aquiraz,BR,87.89,broken clouds,-3.9014,-38.3911,Pousada Rua Camurupim
312,Bambanglipuro,ID,79.03,broken clouds,-7.95,110.2833,Puri Brata
322,Vila Do Maio,CV,86.79,clear sky,15.1333,-23.2167,Hotel Marilu
324,Savannah Bight,HN,80.31,clear sky,16.45,-85.85,Villa on Dunbar Rock
327,Trinidad,BO,87.78,broken clouds,-14.8333,-64.9,Hotel Piesta
329,Teknaf,BD,81.32,clear sky,20.8624,92.3058,Forestry Guesthouse
331,Mayumba,GA,81.09,overcast clouds,-3.432,10.6554,LIKWALE LODGE
335,Clemson,US,76.42,scattered clouds,34.6834,-82.8374,Courtyard by Marriott Clemson
337,Muli,MV,85.15,broken clouds,2.9167,73.5667,Medhufushi Island Resort
340,Yambio,SS,81.28,overcast clouds,4.5721,28.3955,Naivasha Hotel
342,Kirakira,SB,79.83,scattered clouds,-10.4544,161.9205,SanBiz Lodge
346,Bubaque,GW,78.8,few clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
350,Am Timan,TD,88.09,light rain,11.0297,20.2827,Palais du chef Canton Salamt
358,Alofi,NU,79.97,moderate rain,-19.0595,-169.9187,Taloa Heights
360,Tallahassee,US,80.33,broken clouds,30.4383,-84.2807,Four Points by Sheraton Tallahassee Downtown
361,Bogale,MM,86.0,few clouds,16.2833,95.4,Aung Pin Lel Guest House
365,Bangkalan,ID,84.15,scattered clouds,-7.0455,112.7351,SPOT ON 2591 Griya Demangan Syariah
368,Port-Gentil,GA,85.96,scattered clouds,-0.7193,8.7815,Fengshui Residence
369,Riyadh,SA,75.34,overcast clouds,24.6877,46.7219,"InterContinental Riyadh, an IHG Hotel"
373,Sabzevar,IR,87.08,scattered clouds,36.2126,57.6819,پزشکی قانونی سبزوار
