City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Pevek,RU,2022-04-21 15:28:52,69.7008,170.3133,10.62,96,87,6.42
1,Severnyy,RU,2022-04-21 15:28:53,50.677,36.5532,51.84,46,40,6.71
2,Cherskiy,RU,2022-04-21 15:28:53,68.75,161.3,15.39,97,100,2.86
3,Teeli,RU,2022-04-21 15:28:54,51.0333,90.2333,49.42,39,100,6.87
4,Ilulissat,GL,2022-04-21 15:28:54,69.2167,-51.1,30.22,80,75,24.16
5,Tuktoyaktuk,CA,2022-04-21 15:28:55,69.4541,-133.0374,-7.6,77,40,0.0
6,Libreville,GA,2022-04-21 15:28:55,0.3925,9.4537,85.6,67,77,8.68
7,Lakhimpur,IN,2022-04-21 15:28:55,27.95,80.7667,92.21,19,100,8.99
8,Mujiayingzi,CN,2022-04-21 15:28:56,42.1167,118.7833,42.22,64,83,18.01
9,Peterhead,GB,2022-04-21 15:28:56,57.5058,-1.7981,57.45,83,67,13.89
10,Punta Arenas,CL,2022-04-21 15:28:35,-53.15,-70.9167,44.71,70,75,16.11
11,Grindavik,IS,2022-04-21 15:28:57,63.8424,-22.4338,50.47,81,75,20.71
12,Bluff,NZ,2022-04-21 15:28:57,-46.6,168.3333,47.8,88,100,15.66
13,Ler,SS,2022-04-21 15:28:57,8.3018,30.1418,92.79,40,86,6.13
14,Shenjiamen,CN,2022-04-21 15:28:57,29.9576,122.298,58.68,94,74,11.77
15,Ostrovnoy,RU,2022-04-21 15:28:58,68.0531,39.5131,34.61,97,100,14.92
16,Busselton,AU,2022-04-21 15:28:58,-33.65,115.3333,60.28,61,0,15.88
17,Port Alfred,ZA,2022-04-21 15:28:58,-33.5906,26.891,79.18,50,82,4.38
18,Hofn,IS,2022-04-21 15:28:59,64.2539,-15.2082,55.42,54,20,8.05
19,Minab,IR,2022-04-21 15:28:59,27.1467,57.0801,84.61,36,32,4.36
20,Georgetown,MY,2022-04-21 15:28:35,5.4112,100.3354,84.15,84,20,3.44
21,Hobart,AU,2022-04-21 15:27:26,-42.8794,147.3294,49.05,75,100,6.91
22,Chuy,UY,2022-04-21 15:29:00,-33.6971,-53.4616,74.95,50,99,8.75
23,Siyabuswa,ZA,2022-04-21 15:29:00,-25.1132,29.0445,72.81,49,62,5.3
24,Atambua,ID,2022-04-21 15:29:01,-9.1061,124.8925,73.45,89,95,4.79
25,Hithadhoo,MV,2022-04-21 15:28:36,-0.6,73.0833,84.6,65,8,7.52
26,Jamestown,US,2022-04-21 15:28:10,42.097,-79.2353,49.71,93,100,16.11
27,Te Anau,NZ,2022-04-21 15:29:01,-45.4167,167.7167,45.27,95,99,5.21
28,Arlit,NE,2022-04-21 15:29:02,18.7369,7.3853,104.32,6,8,13.62
29,Saint-Philippe,RE,2022-04-21 15:29:02,-21.3585,55.7679,78.39,88,53,10.4
30,Kapaa,US,2022-04-21 15:29:02,22.0752,-159.319,71.92,94,100,13.8
31,Tiksi,RU,2022-04-21 15:29:03,71.6872,128.8694,6.6,98,100,5.64
32,Wenatchee,US,2022-04-21 15:26:53,47.4235,-120.3103,46.78,94,100,3.44
33,Kuching,MY,2022-04-21 15:29:03,1.55,110.3333,75.42,94,20,2.3
34,Vaini,TO,2022-04-21 15:29:04,-21.2,-175.2,71.76,100,20,2.3
35,Los Llanos De Aridane,ES,2022-04-21 15:29:04,28.6585,-17.9182,62.35,87,75,10.36
36,Berlevag,NO,2022-04-21 15:29:04,70.8578,29.0864,39.0,87,41,17.36
37,Atuona,PF,2022-04-21 15:29:05,-9.8,-139.0333,78.82,81,16,17.83
