City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
172,Qaanaaq,GL,77.484,-69.3632,9.09,67,97,5.79,overcast clouds
173,Muros,ES,42.7762,-9.0603,66.69,71,18,6.55,few clouds
174,Atbasar,KZ,51.8,68.3333,52.36,25,16,6.15,few clouds
175,Iqaluit,CA,63.7506,-68.5145,22.69,92,100,28.77,snow
176,Merauke,ID,-8.4667,140.3333,80.2,83,95,5.39,overcast clouds
177,Barrow,US,71.2906,-156.7887,8.62,85,100,6.91,overcast clouds
178,Komsomolskiy,UZ,40.4272,71.7189,74.12,43,53,4.61,broken clouds
179,Stornoway,GB,58.2093,-6.3865,49.93,77,75,12.66,broken clouds
180,Goderich,CA,43.7501,-81.7165,55.72,67,99,1.14,overcast clouds
181,Baruun-Urt,MN,46.6806,113.2792,30.27,64,48,11.61,scattered clouds
182,Kjollefjord,NO,70.9457,27.3465,33.85,62,99,12.64,overcast clouds
183,Umm Lajj,SA,25.0213,37.2685,80.46,46,0,5.68,clear sky
184,Maneadero,MX,31.7167,-116.5667,67.1,29,2,4.0,clear sky
185,Leh,IN,34.1667,77.5833,44.8,44,100,7.47,overcast clouds
186,Martapura,ID,-3.4167,114.85,78.89,100,75,4.61,broken clouds
187,Lebu,CL,-37.6167,-73.65,54.88,71,100,18.05,overcast clouds
188,Kosovska Mitrovica,XK,42.8833,20.8667,68.59,59,36,11.74,scattered clouds
189,Georgetown,MY,5.4112,100.3354,84.13,92,20,5.99,thunderstorm with light rain
190,Phonhong,LA,18.5007,102.4166,80.47,77,27,3.85,scattered clouds
191,Aksu,CN,41.1231,80.2644,73.74,12,5,21.92,clear sky
192,Dhidhdhoo,MV,6.8833,73.1,85.19,67,99,0.65,overcast clouds
193,Marsh Harbour,BS,26.5412,-77.0636,74.75,63,18,14.58,few clouds
194,Bull Savanna,JM,17.8868,-77.5902,78.75,66,68,11.01,broken clouds
195,Kintinku,TZ,-5.8833,35.2333,80.6,52,100,4.65,overcast clouds
196,Humaita,BR,-7.5061,-63.0208,89.35,57,11,4.97,few clouds
197,Zaraza,VE,9.3503,-65.3245,93.16,42,95,5.37,overcast clouds
198,Pangnirtung,CA,66.1451,-65.7125,23.0,86,100,21.85,light snow
199,Voh,NC,-20.9667,164.7,66.6,80,78,5.44,broken clouds
200,Berlevag,NO,70.8578,29.0864,33.6,66,100,15.19,overcast clouds
201,Vardo,NO,70.3705,31.1107,35.58,75,40,12.66,scattered clouds
202,Pombas,CV,17.1503,-25.0201,78.58,78,4,14.9,clear sky
203,Geraldton,AU,-28.7667,114.6,70.21,78,100,16.11,overcast clouds
204,Prachuap Khiri Khan,TH,12.2167,99.75,76.48,85,94,3.2,light rain
205,Morondava,MG,-20.2833,44.2833,81.81,67,97,7.16,overcast clouds
206,Grindavik,IS,63.8424,-22.4338,46.87,71,75,9.22,broken clouds
207,Leningradskiy,RU,69.3833,178.4167,1.6,97,82,6.55,broken clouds
208,Ca Mau,VN,9.1769,105.15,81.68,78,100,4.47,overcast clouds
209,Mantua,IT,45.1667,10.7833,68.34,67,58,5.01,broken clouds
210,Souillac,MU,-20.5167,57.5167,77.38,69,75,12.66,broken clouds
211,Vieques,PR,18.425,-65.8329,83.84,71,27,14.9,scattered clouds
212,Vila,PT,42.0304,-8.1588,59.7,54,70,7.92,broken clouds
213,La Ronge,CA,55.1001,-105.2842,21.45,49,0,10.36,clear sky
214,Saldanha,ZA,-33.0117,17.9442,68.05,68,0,17.18,clear sky
215,Vanimo,PG,-2.6741,141.3028,78.48,88,100,4.97,overcast clouds
216,Talnakh,RU,69.4865,88.3972,2.21,100,88,2.21,overcast clouds
217,Kpandu,GH,6.9954,0.2931,85.24,66,99,4.38,overcast clouds
218,Guhagar,IN,17.4842,73.1929,85.26,64,59,1.54,broken clouds
219,Taoudenni,ML,22.6783,-3.9836,91.83,14,0,20.47,clear sky
220,Honolulu,US,21.3069,-157.8583,73.47,77,3,10.0,clear sky
221,Guerrero Negro,MX,27.9769,-114.0611,66.38,55,0,3.33,clear sky
222,Hithadhoo,MV,-0.6,73.0833,85.5,70,43,7.25,scattered clouds
223,Atar,MR,20.5169,-13.0499,92.64,20,0,16.78,clear sky
224,Encruzilhada,BR,-15.5314,-40.9094,82.58,49,39,11.95,scattered clouds
225,Pedraza,CO,10.1874,-74.915,86.45,63,90,8.57,overcast clouds
226,College,US,64.8569,-147.8028,34.59,81,100,3.44,overcast clouds
227,Oppdal,NO,62.5943,9.6912,37.44,98,100,5.55,overcast clouds
228,Longonjo,AO,-12.9067,15.2533,72.57,64,96,1.36,overcast clouds
229,Cairns,AU,-16.9167,145.7667,76.06,97,75,5.75,heavy intensity rain
230,Ahipara,NZ,-35.1667,173.1667,59.27,86,28,5.61,scattered clouds
231,Sabla,NG,12.7525,4.7077,107.26,6,98,4.05,overcast clouds
232,Borger,NL,52.9233,6.7931,55.8,80,100,7.45,overcast clouds
233,Araouane,ML,18.9048,-3.5265,95.76,12,0,16.96,clear sky
234,Maumere,ID,-8.6199,122.2111,79.29,70,100,4.12,overcast clouds
235,Ternovka,RU,51.678,41.6375,65.1,61,83,5.55,broken clouds
236,Adalaj,IN,23.1667,72.5833,94.86,14,0,5.75,smoke
237,Bengkulu,ID,-3.8004,102.2655,77.16,90,100,6.2,overcast clouds
238,Victor Harbor,AU,-35.5667,138.6167,65.68,89,76,6.93,broken clouds
239,Torbay,CA,47.6666,-52.7314,39.27,97,100,13.0,mist
240,Pangody,RU,65.85,74.4859,14.52,91,45,7.67,scattered clouds
241,Hirara,JP,24.8,125.2833,78.08,92,7,18.86,clear sky
242,Lago Da Pedra,BR,-4.3333,-45.1667,82.31,79,49,6.13,scattered clouds
243,Namie,JP,37.4833,141.0,60.71,92,100,4.41,overcast clouds
244,Dauphin,CA,51.1494,-100.0502,15.94,67,0,13.8,clear sky
245,Tromso,NO,69.6496,18.957,32.38,86,75,5.75,light shower snow
246,Laiyang,CN,36.9758,120.7136,57.97,94,100,5.95,overcast clouds
247,Wattegama,LK,6.7989,81.4808,77.88,86,69,1.05,broken clouds
248,Aksarka,RU,66.5606,67.7975,24.8,94,45,7.56,scattered clouds
249,Chalchihuites,MX,23.4833,-103.8833,66.52,22,0,1.43,clear sky
250,Tenenkou,ML,14.4572,-4.9169,103.64,7,2,12.01,clear sky
251,Prince Rupert,CA,54.3161,-130.3201,42.49,93,100,13.8,overcast clouds
252,Abu Zabad,SD,12.35,29.25,101.8,5,65,6.02,broken clouds
253,Monrovia,LR,6.3005,-10.7969,89.37,72,100,9.26,overcast clouds
254,Mujiayingzi,CN,42.1167,118.7833,63.93,34,21,13.69,few clouds
255,Svetlogorsk,BY,52.6333,29.7333,62.28,67,97,4.34,overcast clouds
256,Morant Bay,JM,17.8815,-76.4093,86.7,71,43,9.75,scattered clouds
257,Buala,SB,-8.145,159.5921,80.31,82,87,4.81,overcast clouds
258,Kisber,HU,47.5029,18.0367,65.28,76,99,7.43,overcast clouds
259,Moindou,NC,-21.6924,165.677,70.23,71,100,7.02,overcast clouds
260,Darlawn,IN,24.0167,92.9,71.87,67,8,3.31,clear sky
261,Shingu,JP,33.7333,135.9833,63.57,93,96,2.59,overcast clouds
262,Sooke,CA,48.3746,-123.7276,47.57,85,48,28.77,scattered clouds
263,Hamilton,US,39.1834,-84.5333,73.49,91,100,8.41,overcast clouds
264,Dingle,PH,10.9995,122.6711,78.78,89,37,7.54,scattered clouds
265,Wonthaggi,AU,-38.6044,145.5913,55.81,86,87,7.92,overcast clouds
266,Hambantota,LK,6.1241,81.1185,80.94,100,100,3.44,thunderstorm
267,Port Augusta,AU,-32.5,137.7667,66.11,62,100,6.51,light rain
268,Pisco,PE,-13.7,-76.2167,68.02,88,100,6.91,mist
269,Russell,US,32.3502,-85.1999,77.97,63,0,6.78,clear sky
270,Sao Joao Da Barra,BR,-21.6403,-41.0511,77.09,69,34,9.48,scattered clouds
271,Port Hedland,AU,-20.3167,118.5667,73.45,83,76,9.22,broken clouds
272,Haflong,IN,25.1833,93.0333,74.55,56,18,0.43,few clouds
